Território;Nome do território;Sexo;Ano;Meio de agressão;Óbitos;Taxa bruta (por 100 mil hab.);Taxa padronizada (por 100 mil hab.)
BR;Brasil;Ambos;2017;Estrangulamento;864;0.42;0.41
BR;Brasil;Ambos;2017;Força corporal;895;0.44;0.43
BR;Brasil;Ambos;2017;Demais meios especificados;891;0.43;0.38
BR;Brasil;Ambos;2017;Meios não especificados;1879;0.92;0.85
BR;Brasil;Ambos;2018;Arma de fogo;41179;19.94;19.2
BR;Brasil;Ambos;2018;Arma branca ou objeto contundente;10585;5.13;5.03
BR;Brasil;Ambos;2018;Estrangulamento;821;0.4;0.39
BR;Brasil;Ambos;2018;Força corporal;884;0.43;0.43
BR;Brasil;Ambos;2018;Demais meios especificados;790;0.38;0.33
BR;Brasil;Ambos;2018;Meios não especificados;1655;0.8;0.73
BR;Brasil;Ambos;2019;Arma de fogo;30825;14.83;14.41
BR;Brasil;Ambos;2019;Arma branca ou objeto contundente;9664;4.65;4.56
BR;Brasil;Ambos;2019;Estrangulamento;763;0.37;0.36
BR;Brasil;Ambos;2019;Força corporal;787;0.38;0.37
BR;Brasil;Ambos;2019;Demais meios especificados;663;0.32;0.3
BR;Brasil;Ambos;2019;Meios não especificados;1331;0.64;0.59
BR;Brasil;Ambos;2020;Arma de fogo;33994;16.25;15.9
BR;Brasil;Ambos;2020;Arma branca ou objeto contundente;9613;4.6;4.5
BR;Brasil;Ambos;2020;Estrangulamento;685;0.33;0.32
BR;Brasil;Ambos;2020;Força corporal;890;0.43;0.42
BR;Brasil;Ambos;2020;Demais meios especificados;573;0.27;0.25
BR;Brasil;Ambos;2020;Meios não especificados;1925;0.92;0.86
BR;Brasil;Ambos;2021;Arma de fogo;33039;15.73;15.5
BR;Brasil;Ambos;2021;Arma branca ou objeto contundente;8988;4.28;4.2
BR;Brasil;Ambos;2021;Estrangulamento;661;0.31;0.31
BR;Brasil;Ambos;2021;Força corporal;924;0.44;0.43
BR;Brasil;Ambos;2021;Demais meios especificados;599;0.29;0.27
BR;Brasil;Ambos;2021;Meios não especificados;1351;0.64;0.61
BR;Brasil;Ambos;2022;Arma de fogo;31710;15.04;14.9
