Território;Nome do território;Sexo;Ano;Subgrupo detalhado;Óbitos;Taxa bruta (por 100 mil hab.);Taxa padronizada (por 100 mil hab.)
BR;Brasil;Ambos;2006;Pulmonares por agentes externos;2732;1.457;2.038
BR;Brasil;Ambos;2006;Interstício pulmonar;5006;2.669;3.713
BR;Brasil;Ambos;2006;Necróticas e supurativas;812;0.433;0.575
BR;Brasil;Ambos;2006;Pleura;954;0.509;0.704
BR;Brasil;Ambos;2006;Outras do aparelho respiratório;11173;5.958;8.473
BR;Brasil;Ambos;2007;Órgãos digestivos;50593;26.7;38.17
BR;Brasil;Ambos;2007;"Pulmão, traqueia e brônquios";19855;10.48;15.16
BR;Brasil;Ambos;2007;Mama feminina;11194;5.91;8.06
BR;Brasil;Ambos;2007;Próstata;11478;6.06;9.05
BR;Brasil;Ambos;2007;Colo de útero;4691;2.48;3.3
BR;Brasil;Ambos;2007;Demais localizações;60789;32.09;43.78
BR;Brasil;Ambos;2007;Isquêmicas do coração;92568;48.86;70.4
BR;Brasil;Ambos;2007;Cerebrovasculares;96804;51.1;73.83
BR;Brasil;Ambos;2007;Demais cardiovasculares;119094;62.86;90.07
BR;Brasil;Ambos;2007;Vias aéreas superiores;226;0.119;0.142
BR;Brasil;Ambos;2007;Crônicas das vias aéreas inferiores;38466;20.303;29.798
BR;Brasil;Ambos;2007;Pulmonares por agentes externos;2809;1.483;2.041
BR;Brasil;Ambos;2007;Interstício pulmonar;5183;2.736;3.739
BR;Brasil;Ambos;2007;Necróticas e supurativas;743;0.392;0.513
BR;Brasil;Ambos;2007;Pleura;978;0.516;0.708
BR;Brasil;Ambos;2007;Outras do aparelho respiratório;10749;5.674;7.946
BR;Brasil;Ambos;2008;Órgãos digestivos;52231;27.3;38.22
BR;Brasil;Ambos;2008;"Pulmão, traqueia e brônquios";20622;10.78;15.26
BR;Brasil;Ambos;2008;Mama feminina;11945;6.24;8.34
BR;Brasil;Ambos;2008;Próstata;12121;6.33;9.23
BR;Brasil;Ambos;2008;Colo de útero;4873;2.55;3.31
BR;Brasil;Ambos;2008;Demais localizações;62882;32.86;44.04
BR;Brasil;Ambos;2008;Isquêmicas do coração;95777;50.06;70.43
BR;Brasil;Ambos;2008;Cerebrovasculares;98962;51.72;73.04
BR;Brasil;Ambos;2008;Demais cardiovasculares;123058;64.32;90.16
BR;Brasil;Ambos;2008;Vias aéreas superiores;234;0.122;0.144
BR;Brasil;Ambos;2008;Crônicas das vias aéreas inferiores;37930;19.824;28.434
BR;Brasil;Ambos;2008;Pulmonares por agentes externos;2961;1.548;2.092
BR;Brasil;Ambos;2008;Interstício pulmonar;5339;2.79;3.725
BR;Brasil;Ambos;2008;Necróticas e supurativas;802;0.419;0.534
BR;Brasil;Ambos;2008;Pleura;1002;0.524;0.701
BR;Brasil;Ambos;2008;Outras do aparelho respiratório;10301;5.384;7.357
BR;Brasil;Ambos;2009;Órgãos digestivos;53665;27.78;37.96
BR;Brasil;Ambos;2009;"Pulmão, traqueia e brônquios";21069;10.91;15.07
BR;Brasil;Ambos;2009;Mama feminina;12098;6.26;8.19
BR;Brasil;Ambos;2009;Próstata;12274;6.35;9.05
BR;Brasil;Ambos;2009;Colo de útero;5063;2.62;3.34
BR;Brasil;Ambos;2009;Demais localizações;64893;33.59;44.12
BR;Brasil;Ambos;2009;Isquêmicas do coração;96386;49.9;68.64
BR;Brasil;Ambos;2009;Cerebrovasculares;99262;51.38;70.96
BR;Brasil;Ambos;2009;Demais cardiovasculares;124426;64.41;88.29
BR;Brasil;Ambos;2009;Vias aéreas superiores;226;0.117;0.14
BR;Brasil;Ambos;2009;Crônicas das vias aéreas inferiores;38375;19.866;27.833
BR;Brasil;Ambos;2009;Pulmonares por agentes externos;3241;1.678;2.227
BR;Brasil;Ambos;2009;Interstício pulmonar;5270;2.728;3.559
BR;Brasil;Ambos;2009;Necróticas e supurativas;777;0.402;0.509
BR;Brasil;Ambos;2009;Pleura;1088;0.563;0.739
BR;Brasil;Ambos;2009;Outras do aparelho respiratório;11091;5.741;7.689
BR;Brasil;Ambos;2010;Órgãos digestivos;56295;28.91;38.63
BR;Brasil;Ambos;2010;"Pulmão, traqueia e brônquios";21868;11.23;15.18
BR;Brasil;Ambos;2010;Mama feminina;12853;6.6;8.46
BR;Brasil;Ambos;2010;Próstata;12778;6.56;9.1
BR;Brasil;Ambos;2010;Colo de útero;4986;2.56;3.18
BR;Brasil;Ambos;2010;Demais localizações;66872;34.34;44.23
BR;Brasil;Ambos;2010;Isquêmicas do coração;99955;51.32;68.9
BR;Brasil;Ambos;2010;Cerebrovasculares;99732;51.21;69.06
BR;Brasil;Ambos;2010;Demais cardiovasculares;126684;65.05;87.05
BR;Brasil;Ambos;2010;Vias aéreas superiores;283;0.145;0.174
BR;Brasil;Ambos;2010;Crônicas das vias aéreas inferiores;40608;20.851;28.508
BR;Brasil;Ambos;2010;Pulmonares por agentes externos;3642;1.87;2.438
BR;Brasil;Ambos;2010;Interstício pulmonar;5416;2.781;3.574
BR;Brasil;Ambos;2010;Necróticas e supurativas;740;0.38;0.468
BR;Brasil;Ambos;2010;Pleura;1106;0.568;0.727
BR;Brasil;Ambos;2010;Outras do aparelho respiratório;11146;5.723;7.514
BR;Brasil;Ambos;2011;Órgãos digestivos;57699;29.41;38.3
BR;Brasil;Ambos;2011;"Pulmão, traqueia e brônquios";22426;11.43;15.05
BR;Brasil;Ambos;2011;Mama feminina;13345;6.8;8.53
BR;Brasil;Ambos;2011;Próstata;13129;6.69;9.04
BR;Brasil;Ambos;2011;Colo de útero;5160;2.63;3.21
BR;Brasil;Ambos;2011;Demais localizações;69229;35.29;44.5
BR;Brasil;Ambos;2011;Isquêmicas do coração;103486;52.76;69.06
BR;Brasil;Ambos;2011;Cerebrovasculares;100751;51.36;67.51
BR;Brasil;Ambos;2011;Demais cardiovasculares;130976;66.77;87.17
BR;Brasil;Ambos;2011;Vias aéreas superiores;295;0.15;0.171
BR;Brasil;Ambos;2011;Crônicas das vias aéreas inferiores;42837;21.838;29.144
BR;Brasil;Ambos;2011;Pulmonares por agentes externos;3708;1.89;2.41
BR;Brasil;Ambos;2011;Interstício pulmonar;5555;2.832;3.575
BR;Brasil;Ambos;2011;Necróticas e supurativas;851;0.434;0.526
BR;Brasil;Ambos;2011;Pleura;1128;0.575;0.725
BR;Brasil;Ambos;2011;Outras do aparelho respiratório;11705;5.967;7.666
BR;Brasil;Ambos;2012;Órgãos digestivos;60231;30.47;38.77
BR;Brasil;Ambos;2012;"Pulmão, traqueia e brônquios";23501;11.89;15.28
BR;Brasil;Ambos;2012;Mama feminina;13746;6.95;8.53
BR;Brasil;Ambos;2012;Próstata;13354;6.76;8.88
BR;Brasil;Ambos;2012;Colo de útero;5264;2.66;3.18
BR;Brasil;Ambos;2012;Demais localizações;71730;36.29;44.79
BR;Brasil;Ambos;2012;Isquêmicas do coração;104397;52.81;67.46
BR;Brasil;Ambos;2012;Cerebrovasculares;100194;50.69;65.02
BR;Brasil;Ambos;2012;Demais cardiovasculares;128704;65.11;82.93
BR;Brasil;Ambos;2012;Vias aéreas superiores;258;0.131;0.149
BR;Brasil;Ambos;2012;Crônicas das vias aéreas inferiores;41378;20.933;27.194
