Território;Nome do território;Sexo;Ano;Grupo de causa;Óbitos;Taxa padronizada (por 100 mil hab.)
BR;Brasil;Homens;2004;Causas externas;105248;125.45
BR;Brasil;Homens;2004;Endócrinas e metabólicas;23800;43.47
BR;Brasil;Homens;2004;Aparelho digestivo;31357;52.38
BR;Brasil;Homens;2004;Infecciosas e parasitárias;27342;40.69
BR;Brasil;Homens;2004;Perinatais e malformações;22834;17.72
BR;Brasil;Homens;2004;Sinais e achados mal definidos;70450;125.59
BR;Brasil;Homens;2004;Demais causas definidas;27838;46.48
BR;Brasil;Homens;2005;Aparelho circulatório;148709;271.44
BR;Brasil;Homens;2005;Neoplasias;79533;140.79
BR;Brasil;Homens;2005;Aparelho respiratório;52879;95.88
BR;Brasil;Homens;2005;Causas externas;105062;123.7
BR;Brasil;Homens;2005;Endócrinas e metabólicas;24253;43.38
BR;Brasil;Homens;2005;Aparelho digestivo;32123;52.35
BR;Brasil;Homens;2005;Infecciosas e parasitárias;27293;39.97
BR;Brasil;Homens;2005;Perinatais e malformações;22209;17.41
BR;Brasil;Homens;2005;Sinais e achados mal definidos;58083;100.24
BR;Brasil;Homens;2005;Demais causas definidas;29346;48.19
BR;Brasil;Homens;2006;Aparelho circulatório;158249;281.01
BR;Brasil;Homens;2006;Neoplasias;83704;144.24
BR;Brasil;Homens;2006;Aparelho respiratório;55350;97.73
BR;Brasil;Homens;2006;Causas externas;105516;122.05
BR;Brasil;Homens;2006;Endócrinas e metabólicas;26272;45.84
BR;Brasil;Homens;2006;Aparelho digestivo;33138;52.7
BR;Brasil;Homens;2006;Infecciosas e parasitárias;27365;39.53
BR;Brasil;Homens;2006;Perinatais e malformações;21405;17.08
BR;Brasil;Homens;2006;Sinais e achados mal definidos;48107;79.96
BR;Brasil;Homens;2006;Demais causas definidas;31573;50.44
BR;Brasil;Homens;2007;Aparelho circulatório;161641;278.82
BR;Brasil;Homens;2007;Neoplasias;87013;145.71
BR;Brasil;Homens;2007;Aparelho respiratório;55957;96.45
BR;Brasil;Homens;2007;Causas externas;107591;122.52
BR;Brasil;Homens;2007;Endócrinas e metabólicas;27270;46.25
BR;Brasil;Homens;2007;Aparelho digestivo;34248;53.04
BR;Brasil;Homens;2007;Infecciosas e parasitárias;26883;38.01
BR;Brasil;Homens;2007;Perinatais e malformações;20800;16.98
BR;Brasil;Homens;2007;Sinais e achados mal definidos;45059;72.71
BR;Brasil;Homens;2007;Demais causas definidas;33023;51.78
BR;Brasil;Homens;2008;Aparelho circulatório;166539;278.85
BR;Brasil;Homens;2008;Neoplasias;90147;146.82
BR;Brasil;Homens;2008;Aparelho respiratório;56040;93.86
BR;Brasil;Homens;2008;Causas externas;111040;124.9
BR;Brasil;Homens;2008;Endócrinas e metabólicas;28798;47.64
BR;Brasil;Homens;2008;Aparelho digestivo;35139;52.95
BR;Brasil;Homens;2008;Infecciosas e parasitárias;27748;38.59
BR;Brasil;Homens;2008;Perinatais e malformações;20201;16.63
BR;Brasil;Homens;2008;Sinais e achados mal definidos;44943;70.31
BR;Brasil;Homens;2008;Demais causas definidas;35352;54.09
BR;Brasil;Homens;2009;Aparelho circulatório;167529;272.26
BR;Brasil;Homens;2009;Neoplasias;92467;145.98
BR;Brasil;Homens;2009;Aparelho respiratório;60191;97.49
BR;Brasil;Homens;2009;Causas externas;113261;125.61
BR;Brasil;Homens;2009;Endócrinas e metabólicas;29818;48.02
BR;Brasil;Homens;2009;Aparelho digestivo;35584;52.33
BR;Brasil;Homens;2009;Infecciosas e parasitárias;27484;37.43
BR;Brasil;Homens;2009;Perinatais e malformações;19794;16.4
BR;Brasil;Homens;2009;Sinais e achados mal definidos;44592;67.8
BR;Brasil;Homens;2009;Demais causas definidas;37225;55.99
BR;Brasil;Homens;2010;Aparelho circulatório;170948;269.65
BR;Brasil;Homens;2010;Neoplasias;96154;147.6
BR;Brasil;Homens;2010;Aparelho respiratório;62816;99.85
BR;Brasil;Homens;2010;Causas externas;116349;128.12
BR;Brasil;Homens;2010;Endócrinas e metabólicas;31398;49.21
BR;Brasil;Homens;2010;Aparelho digestivo;36849;52.7
BR;Brasil;Homens;2010;Infecciosas e parasitárias;28266;37.9
BR;Brasil;Homens;2010;Perinatais e malformações;18705;15.76
BR;Brasil;Homens;2010;Sinais e achados mal definidos;45022;66.71
